DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_???,tot_ALLARMATI,tot_ALLARMI CHIUSI,tot_ALLARMI CHIUSI CON AZIONE (CC.XX),tot_ALLARMI GENERATI,tot_ALLARMI GENERATI DA BCS,tot_ALLARMI GENERATI DA INTERPOL,tot_ALLARMI GENERATI DA SDI/NSIS,tot_ALLARMI NON CHIUSI,tot_ALLARMI RILEVANTI,tot_ALTRO,tot_ERRATA SEGNALAZIONE BCS,tot_ERRATA SEGNALAZIONE NSIS,tot_ERRATA SEGNALAZIONE SDI,tot_INAMMISSIBILITA SCHENGEN - ART.24,tot_MANCATO AGGIORNAMENTO SCHENGEN NSIS,tot_MANCATO AGGIORNAMENTO SDI,tot_N/C,tot_NOTIFICA ATTI/PROVV,tot_NULLA A PROCEDERE INT,tot_NULLA A PROCEDERE NSIS,tot_NULLA A PROCEDERE SDI,tot_RESPINTO/A,tot_VIAGGIATORI CON ALLARMI,tot_VIAGGIATORI ENTRATI NEL SISTEMA,tot_VIAGGIATORI INVESTIGATI,tot_VOLI CON ALLARMI,tot_VOLI DISPONIBILI IN INGRESSO AL SISTEMA,tot_VOLI INVESTIGATI (SDI/NSIS - INTERPOL - TSC),"tot_VOLI SOLO VISUALIZZATI, MA NON INVESTIGATI",DEPARTURE_CITY,DEPARTURE_COUNTRY,n_high_risk,n_medium_risk,tot_entries,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,alert_rate_AFG,alert_rate_AGO,alert_rate_doc_VISTO,alert_rate_doc_PERMESSO DI SOGGIORNO,alert_rate_doc_PASSAPORTO,pct_SEGNALATO,pct_IN ATTESA,pct_RESPINTO,pct_FERMATO,route,if_anomaly,if_score,lof_anomaly,lof_score,dbscan_anomaly,z_max,z_anomaly,anomaly_votes,anomaly_consensus,risk_level,quality_note,ci95_low,ci95_high,ci95_str,ci_width,confidence,absolute_alarms,absolute_alarms_log,rate_n,alarms_n,priority_score,rank
TIA,BLQ,0.0,0.0,61.0,0.0,0.0,0.0,0.0,217.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,92.0,961.0,776.0,12.0,4.0,10.0,3.0,TIRANA,ALBANIA,0.0,0.0,29891.0,20061.0,4009.0,229.0,0.19984048651612582,0.19984048651612582,0.6711384697735104,0.20135185087395047,1.0,0.0,0.2592827673754364,0.2030321655398484,0.18006547835576572,0.20809248554913296,0.20809248554913296,0.23699421965317918,0.15606936416184972,TIA→BLQ,1,0.07015871021862585,0,2.587915012389546,1,,0,2,1,MEDIUM,ok,0.19436456010027336,0.20543134957688053,"[19.4%, 20.5%]",0.011066789476607164,0.9889332105233928,4009.0,8.296546520300614,0.19984048651612582,0.9818167815209082,0.507,1
TIA,BGY,0.0,0.0,157.0,2.0,0.0,0.0,0.0,261.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,120.0,1.0,94.0,1453.0,707.0,6.0,11.0,17.0,13.0,TIRANA,ALBANIA,0.0,0.0,24928.0,34458.0,4675.0,298.0,0.13567241279238493,0.13567241279238493,1.382301026957638,0.18556977889177334,0.0,0.0,0.20222999562745955,0.1831908831908832,0.15191011235955057,0.2171945701357466,0.19457013574660634,0.22624434389140272,0.20361990950226244,TIA→BGY,1,0.13761025825171513,0,2.4925374697349705,1,,0,2,1,LOW,ok,0.1320972692344677,0.1393287824713703,"[13.2%, 13.9%]",0.007231513236902576,0.9927684867630975,4675.0,8.450198322591959,0.13567241279238493,1.0,0.4779,2
TIA,TSF,0.0,0.0,58.0,0.0,0.0,0.0,1.0,177.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,160.0,1504.0,367.0,8.0,5.0,7.0,5.0,TIRANA,ALBANIA,0.0,0.0,12461.0,12657.0,2142.0,177.0,0.16923441573832662,0.16923441573832662,1.015729074713105,0.1698049480705902,0.0,0.0,0.19658119658119658,0.2141309059384482,0.14437242192103714,0.2153846153846154,0.25384615384615383,0.23076923076923078,0.13076923076923078,TIA→TSF,1,0.0546492239353249,0,2.057843464415122,1,,0,2,1,LOW,ok,0.16280257534994527,0.1758669803926998,"[16.3%, 17.6%]",0.013064405042754523,0.9869355949572455,2142.0,7.669961995473577,0.16923441573832662,0.9076665070650014,0.4585,3
DOH,MXP,212.0,0.0,43.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,146.0,1566.0,1527.0,6.0,6.0,7.0,5.0,DOHA,QATAR,0.0,0.0,6.0,6.0,6.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.4,0.2,0.0,DOH→MXP,1,0.030870893340350314,0,4.664491130856196,1,,0,2,1,MEDIUM,ok,0.6096569663469356,1.0,"[61.0%, 100.0%]",0.39034303365306444,0.6096569663469356,6.0,1.9459101490553132,1.0,0.23027982004313924,0.422,4
IST,MXP,0.0,0.0,40.0,0.0,0.0,0.0,0.0,94.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,36.0,1240.0,704.0,7.0,7.0,3.0,7.0,ISTANBUL,TURCHIA,0.0,0.0,53.0,54.0,30.0,35.0,0.5555555555555556,0.5555555555555556,1.0188679245283019,0.35135135135135137,1.2307692307692308,0.0,0.125,0.2857142857142857,0.875,0.2413793103448276,0.3103448275862069,0.1724137931034483,0.10344827586206896,IST→MXP,1,0.010618673623105201,0,2.388493234379021,1,,0,2,1,HIGH,ok,0.42375413911364457,0.6799774312440219,"[42.4%, 68.0%]",0.2562232921303773,0.7437767078696227,30.0,3.4339872044851463,0.5555555555555556,0.40637948050334366,0.3688,5
STN,BGY,0.0,0.0,25.0,0.0,0.0,0.0,1.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,29.0,928.0,2240.0,5.0,14.0,12.0,10.0,LONDRA,REGNO UNITO,0.0,0.0,10156.0,159.0,37.0,106.0,0.23270440251572327,0.23270440251572327,0.015655769988184326,0.2413793103448276,0.0,0.5,0.40625,0.1,0.1875,0.20987654320987653,0.12345679012345678,0.20987654320987653,0.2962962962962963,STN→BGY,1,0.07384827056059406,0,4.933276990142923,1,,0,2,1,MEDIUM,ok,0.17380272316484663,0.30421763526936185,"[17.4%, 30.4%]",0.13041491210451522,0.8695850878954847,37.0,3.6375861597263857,0.23270440251572327,0.43047346593051516,0.2711,6
IST,FCO,0.0,0.0,16.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,57.0,922.0,1407.0,7.0,3.0,4.0,11.0,ISTANBUL,TURCHIA,0.0,0.0,34.0,34.0,13.0,20.0,0.38235294117647056,0.38235294117647056,1.0,0.5454545454545454,0.6363636363636364,0.0,1.0,0.0,0.16666666666666666,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.14285714285714285,IST→FCO,1,0.008648826990722447,0,4.072246344912765,1,,0,2,1,HIGH,ok,0.23899964851608782,0.5495928000061734,"[23.9%, 55.0%]",0.3105931514900856,0.6894068485099144,13.0,2.6390573296152584,0.38235294117647056,0.3123071469884474,0.2443,7
RAK,CIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,3.0,0.0,1.0,MARRAKECH,MAROCCO,0.0,0.0,5.0,7.0,4.0,5.0,0.5714285714285714,0.5714285714285714,1.4,0.5714285714285714,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,RAK→CIA,1,0.00013711162794682874,0,3.2352258444051616,1,,0,2,1,MEDIUM,ok,0.25045423040902576,0.8417830777373732,"[25.0%, 84.2%]",0.5913288473283473,0.40867115267165266,4.0,1.6094379124341003,0.5714285714285714,0.19046155498282222,0.1713,8
JFK,FCO,0.0,0.0,24.0,0.0,1.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1090.0,1065.0,6.0,2.0,5.0,8.0,NEW YORK,STATI UNITI,0.0,0.0,37.0,30.0,7.0,28.0,0.23333333333333334,0.23333333333333334,0.8108108108108109,0.2222222222222222,0.0,0.0,0.0,1.2,0.0,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.058823529411764705,JFK→FCO,1,0.020829926134190213,0,2.6653537461094254,1,,0,2,1,MEDIUM,ok,0.11792239210501226,0.4092867233032426,"[11.8%, 40.9%]",0.29136433119823035,0.7086356688017696,7.0,2.0794415416798357,0.23333333333333334,0.2460819808359245,0.169,9
GIG,FCO,0.0,269.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,519.0,511.0,2.0,1.0,1.0,2.0,RIO DE JANEIRO,BRASILE,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIG→FCO,0,-0.09003464654842652,1,6.466576059961405,1,,0,2,1,LOW,ok,0.0,0.43449149475208104,"[0.0%, 43.4%]",0.43449149475208104,0.565508505247919,0.0,0.0,0.0,0.0,0.0,10
